Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      1.35     0.00   144211     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_ptr() const
  0.00      1.35     0.00   144211     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<int const, int> >::_M_addr() const
  0.00      1.35     0.00   144211     0.00     0.00  std::_Select1st<std::pair<int const, int> >::operator()(std::pair<int const, int> const&) const
  0.00      1.35     0.00   144211     0.00     0.00  std::_Rb_tree_node<std::pair<int const, int> >::_M_valptr() const
  0.00      1.35     0.00   141538     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > >::_M_ptr() const
  0.00      1.35     0.00   141538     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > >::_M_addr() const
  0.00      1.35     0.00   141538     0.00     0.00  std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > >::operator()(std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > const&) const
  0.00      1.35     0.00   141538     0.00     0.00  std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > >::_M_valptr() const
  0.00      1.35     0.00   141538     0.00     0.00  std::_Rb_tree<ns3::Ptr<ns3::Node>, std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > >, std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > >, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > > >::_S_key(std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, std::map<ns3::Ptr<ns3::Node>, unsigned long, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > > > > const*)
  0.00      1.35     0.00   139231     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      1.35     0.00   139231     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      1.35     0.00   137302     0.00     0.00  int* std::__niter_wrap<int*>(int* const&, int*)
  0.00      1.35     0.00   134608     0.00     0.00  bool std::operator< <int, std::pair<int, int> >(std::pair<int, std::pair<int, int> > const&, std::pair<int, std::pair<int, int> > const&)
